,date,symbol,open,high,low,close
0,20240620 08:30:00 US/Central,SR3H5,95.44,95.445,95.435,95.44
1,20240620 08:40:00 US/Central,SR3H5,95.44,95.45,95.44,95.45
2,20240620 08:50:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
3,20240620 09:00:00 US/Central,SR3H5,95.45,95.455,95.445,95.45
4,20240620 09:10:00 US/Central,SR3H5,95.45,95.45,95.44,95.45
5,20240620 09:20:00 US/Central,SR3H5,95.45,95.45,95.445,95.45
6,20240620 09:30:00 US/Central,SR3H5,95.45,95.45,95.44,95.45
7,20240620 09:40:00 US/Central,SR3H5,95.45,95.45,95.44,95.44
8,20240620 09:50:00 US/Central,SR3H5,95.44,95.445,95.44,95.44
9,20240620 10:00:00 US/Central,SR3H5,95.44,95.445,95.44,95.44
10,20240620 10:10:00 US/Central,SR3H5,95.44,95.45,95.44,95.45
11,20240620 10:20:00 US/Central,SR3H5,95.45,95.45,95.44,95.45
12,20240620 10:30:00 US/Central,SR3H5,95.45,95.455,95.445,95.455
13,20240620 10:40:00 US/Central,SR3H5,95.455,95.455,95.45,95.455
14,20240620 10:50:00 US/Central,SR3H5,95.455,95.455,95.45,95.455
15,20240620 11:00:00 US/Central,SR3H5,95.455,95.455,95.45,95.455
16,20240620 11:10:00 US/Central,SR3H5,95.455,95.455,95.45,95.455
17,20240620 11:20:00 US/Central,SR3H5,95.455,95.46,95.45,95.46
18,20240620 11:30:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
19,20240620 11:40:00 US/Central,SR3H5,95.46,95.46,95.45,95.46
20,20240620 11:50:00 US/Central,SR3H5,95.46,95.46,95.45,95.455
21,20240620 12:00:00 US/Central,SR3H5,95.455,95.46,95.45,95.46
22,20240620 12:10:00 US/Central,SR3H5,95.46,95.46,95.45,95.46
23,20240620 12:20:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
24,20240620 12:30:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
25,20240620 12:40:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
26,20240620 12:50:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
27,20240620 13:00:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
28,20240620 13:10:00 US/Central,SR3H5,95.46,95.46,95.455,95.46
29,20240620 13:20:00 US/Central,SR3H5,95.46,95.465,95.455,95.465
30,20240620 13:30:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
31,20240620 13:40:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
32,20240620 13:50:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
33,20240620 14:00:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
34,20240620 14:10:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
35,20240620 14:20:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
36,20240620 14:30:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
37,20240620 14:40:00 US/Central,SR3H5,95.465,95.465,95.46,95.465
